"variable","n","media","sd","mediana","q25","q75","iqr","min","max"
"ot01_agey",16,83085.8125,271182.043617744,5965,3992,10678.75,6686.75,2494,1095821
"ot03_occu",16,32617.4375,51395.6558955051,13604,10828.25,24885,14056.75,5764,208999
"ot04_tliv",16,21922.1875,40606.0215324751,9092.5,4380.5,21934.25,17553.75,3331,169314
"ot40_wact",16,26395.5,28660.4463189253,15042,8008,35518.75,27510.75,1791,92657
"ot41_word",16,29777.3125,42216.8594058799,17862.5,9293.25,24237.75,14944.5,4779,178928
"ot42_kno1",16,29364.25,51465.5814481873,14315,12107,20679,8572,4295,218066
"ot43_kno2",16,31409.1875,76180.5353006648,9231,6815.5,17416.5,10601,2913,315121
"ot44_kno3",16,13415.9375,13732.932488335,9215.5,6206.75,13594.5,7387.75,1365,59680
"ot45_kno4",16,20764.375,17799.3892811898,12477,7434,33829.25,26395.25,814,64008
"ot46_kno5",16,15933.4375,13546.4227945671,10144.5,6439,27383.5,20944.5,2765,46703
